Fecha_Hora;codigoSerial;pm25;calidad_pm25;pm10;calidad_pm10;humedad;calidad_humedad;presion;calidad_presion;temperatura;calidad_temperatura;velocidad_prom;velocidad_max;direccion_prom;direccion_max;calidad_viento;y_pm25;y_pm10
9/09/2015 18:00;12;14.0;-1.0;143.0;-1.0;40.4;1;846.8;1;27.1;1;1.7;3.5;43.0;346.0;1;21.0;53.0
9/09/2015 19:00;12;35.0;-1.0;106.0;-1.0;41.4;1;847.3;1;26.0;1;1.2;3.0;132.0;312.0;1;16.0;44.0
9/09/2015 20:00;12;30.0;-1.0;70.0;-1.0;49.5;1;848.5;1;25.0;1;1.5;3.2;127.0;329.0;1;32.0;76.0
9/09/2015 21:00;12;28.0;-1.0;57.0;-1.0;63.6;1;848.9;1;24.0;1;1.2;3.0;11.0;358.0;1;36.0;74.0
9/09/2015 22:00;12;18.0;-1.0;48.0;-1.0;67.3;1;849.0;1;23.2;1;2.5;4.8;2.0;359.0;1;34.0;61.0
9/09/2015 23:00;12;16.0;-1.0;40.0;-1.0;62.5;1;849.9;1;23.2;1;1.7;2.7;51.0;91.0;1;32.0;58.0
10/09/2015 0:00;12;9.0;-1.0;42.0;-1.0;66.1;1;849.9;1;22.2;1;2.2;3.2;66.0;106.0;1;26.0;54.0
10/09/2015 6:00;12;19.0;-1.0;22.0;-1.0;67.4;1;850.6;1;19.7;1;0.1;0.5;156.0;345.0;1;38.0;70.0
10/09/2015 7:00;12;32.0;-1.0;53.0;-1.0;70.3;1;850.5;1;19.3;1;2.2;4.1;209.0;236.0;1;57.0;99.0
10/09/2015 8:00;12;55.0;-1.0;93.0;-1.0;67.0;1;851.5;1;20.2;1;1.4;2.6;353.0;359.0;1;62.0;118.0
10/09/2015 9:00;12;60.0;-1.0;95.0;-1.0;59.1;1;851.5;1;21.5;1;0.6;1.7;268.0;345.0;1;71.0;108.0
10/09/2015 12:00;12;52.0;-1.0;108.0;-1.0;40.6;1;850.1;1;26.2;1;0.0;1.0;132.0;354.0;1;34.0;46.0
10/09/2015 13:00;12;40.0;-1.0;108.0;-1.0;39.7;1;849.1;1;26.3;1;1.0;2.7;340.0;359.0;1;21.0;53.0
10/09/2015 14:00;12;32.0;-1.0;82.0;-1.0;46.8;1;848.2;1;25.9;1;2.9;5.2;350.0;357.0;1;20.0;53.0
10/09/2015 19:00;12;35.0;-1.0;92.0;-1.0;71.5;1;849.6;1;20.2;1;1.4;2.3;285.0;308.0;1;31.0;61.0
10/09/2015 20:00;12;25.0;-1.0;42.0;-1.0;72.4;1;850.8;1;20.1;1;1.3;2.3;354.0;358.0;1;32.0;65.0
