,codigoSerial,pm25,calidad_pm25,pm10,calidad_pm10,pm1,calidad_pm1,no,calidad_no,no2,calidad_no2,nox,calidad_nox,ozono,calidad_ozono,co,calidad_co,so2,calidad_so2,pst,calidad_pst,dviento_ssr,calidad_dviento_ssr,haire10_ssr,calidad_haire10_ssr,p_ssr,calidad_p_ssr,pliquida_ssr,calidad_pliquida_ssr,rglobal_ssr,calidad_rglobal_ssr,taire10_ssr,calidad_taire10_ssr,vviento_ssr,calidad_vviento_ssr
2016-02-01 00:00:00,12,38.0,-1.0,64.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,8.28,-1.0,0.5,-1.0,-9999.0,4.31,-9999.0,1.0,11.6809,1.0,68.0725,1.0,637.61,3.1,0.0,1.0,0.0,1.0,21.3859,1.0,0.726116,3.1
2016-02-01 01:00:00,12,39.0,-1.0,60.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,8.0,-1.0,0.5,-1.0,-9999.0,4.31,-9999.0,1.0,16.3233,1.0,67.3265,1.0,637.385,3.1,0.0,1.0,0.0,1.0,21.235,1.0,0.977449,3.1
2016-02-01 02:00:00,12,37.0,-1.0,53.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,9.0,-1.0,0.3,-1.0,-9999.0,4.31,-9999.0,1.0,358.517,1.0,70.3811,1.0,637.073,3.1,0.0,1.0,0.0,1.0,20.6498,1.0,0.883533,3.1
2016-02-01 03:00:00,12,37.0,-1.0,54.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,8.0,-1.0,0.4,-1.0,-9999.0,4.31,-9999.0,1.0,21.2105,1.0,70.8173,1.0,636.789,3.1,0.0,1.0,0.0,1.0,20.4423,1.0,0.845158,3.1
2016-02-01 04:00:00,12,35.0,-1.0,51.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,8.0,-1.0,0.3,-1.0,-9999.0,4.31,-9999.0,1.0,9.201,1.0,72.4326,1.0,636.695,3.1,0.0,1.0,0.0,1.0,20.0676,1.0,1.02912,3.1
2016-02-01 05:00:00,12,43.0,-1.0,64.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,6.0,-1.0,0.4,-1.0,-9999.0,4.31,-9999.0,1.0,8.75414,1.0,73.8941,1.0,636.795,3.1,0.0,1.0,0.0,1.0,19.9663,1.0,0.987594,3.1
2016-02-01 06:00:00,12,47.0,-1.0,79.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,2.0,-1.0,0.7,-1.0,-9999.0,4.31,-9999.0,1.0,16.9859,1.0,73.7871,1.0,637.071,3.1,0.0,1.0,0.0,1.0,20.0119,1.0,0.906341,3.1
2016-02-01 07:00:00,12,67.0,-1.0,111.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,1.0,-1.0,1.3,-1.0,-9999.0,4.31,-9999.0,1.0,14.0962,1.0,74.7801,1.0,637.458,3.1,0.0,1.0,1.61809,1.0,19.9756,1.0,1.10153,3.1
2016-02-01 08:00:00,12,64.0,-1.0,108.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,2.0,-1.0,1.4,-1.0,-9999.0,4.31,-9999.0,1.0,13.0243,1.0,70.8787,1.0,637.889,3.1,0.0,1.0,76.2985,1.0,20.6361,1.0,1.14529,3.1
2016-02-01 09:00:00,12,59.0,-1.0,100.0,-1.0,-9999.0,1.0,-9999.0,4.31,-9999.0,4.31,-9999.0,4.31,6.0,-1.0,1.1,-1.0,-9999.0,4.31,-9999.0,1.0,8.37365,1.0,62.479,1.0,638.116,3.1,0.0,1.0,264.4,1.0,22.013,1.0,0.981588,3.1
